Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment,company_name
1070,"Leicester want Siggi?! Why the fuck would he go there?! At best it would be a sideways step, surely. #swans @SwansOfficial @SwanseaNewsOnly",en,Mon Jun 26 21:23:45 ,Mon,21:23:45,6/26/2017,6/26/2017 21:23,0,,,"{u'full_name': u'Canada', u'url': u'https://api.twitter.com/1.1/geo/id/3376992a082d67c7.json', u'country': u'Canada', u'place_type': u'country', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-141.5610942, 41.676329], [-51.053519, 41.676329], [-51.053519, 89.9999], [-141.5610942, 89.9999]]]}, u'contained_within': [], u'country_code': u'CA', u'attributes': {}, u'id': u'3376992a082d67c7', u'name': u'Canada'}",False,False,5155,327,False,670,True,15,Montreal via London,3044,Eastern Time (US & Canada),chris_maslenVFX,jsonfile_today_siggi_ny.json,0.8673148155212402,negative,siggi
1071,"@Siggi_Wesp @realDonaldTrump you do realize he's lying? The SCOTUS hasn't ruled on anything, they're going to hear the case",en,Mon Jun 26 19:14:47 ,Mon,19:14:47,6/26/2017,6/26/2017 19:14,0,,,,False,False,105,794,False,528,False,40,"ÜT: 33.841221,-118.143335",42596,Pacific Time (US & Canada),DeWayneFeenstra,jsonfile_today_siggi_ny.json,0.568035900592804,negative,siggi
1072,"""@Inc: Always rely on your own gut; that's what makes you an entrepreneur. @siggihilmarsson  ",en,Mon Jun 26 16:23:00 ,Mon,16:23:00,6/26/2017,6/26/2017 16:23,0,,,,False,False,88,2359,False,395,False,3,"Amsterdam, The Netherlands",261,Pacific Time (US & Canada),myreputationlab,jsonfile_today_siggi_ny.json,0.612200915813446,positive,siggi
1073,@hunktears @GaybeasCorpus @azninthesun have y'all had that siggi's icelandic skyr yoghurt?,en,Mon Jun 26 04:48:58 ,Mon,4:48:58,6/26/2017,6/26/2017 4:48,0,,,,False,False,113615,3504,False,474,False,112,deep in earth,171241,Pacific Time (US & Canada),corpsehands,jsonfile_today_siggi_ny.json,0.860538899898529,neutral,siggi
1074,"I just saw siggi lookin flawless on the BET awards, love the @MartysaurusRex fam",en,Mon Jun 26 02:32:42 ,Mon,2:32:42,6/26/2017,6/26/2017 2:32,0,,,"{u'full_name': u'Independence, MO', u'url': u'https://api.twitter.com/1.1/geo/id/04b4aca917b0103d.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-94.487114, 39.01759], [-94.269551, 39.01759], [-94.269551, 39.158419], [-94.487114, 39.158419]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'04b4aca917b0103d', u'name': u'Independence'}",False,False,4044,337,False,387,True,0,"Kansas City, MO",2591,Pacific Time (US & Canada),LitLykLin,jsonfile_today_siggi_ny.json,0.9813485741615295,positive,siggi
1075,MY GIRL SIGGI B WAS ON MY TV! YASSSSSSSSSSSS😛😛😛😛😍😍😍😍😍😍😍😍😍😍😍😍😍,en,Mon Jun 26 02:32:09 ,Mon,2:32:09,6/26/2017,6/26/2017 2:32,0,,,,False,False,3813,1750,False,819,True,15,"Houston, TX",67828,Mountain Time (US & Canada),LaurenBMorgan_,jsonfile_today_siggi_ny.json,0.9896747469902039,positive,siggi
1076,RT @siggisdairy: siggi’s icelandic-style yogurt is made with simple ingredients and not a lot of sugar.  ,en,Mon Jun 26 02:23:04 ,Mon,2:23:04,6/26/2017,6/26/2017 2:23,843,,,,False,False,4188,436,False,492,False,24,Berkshires,12344,Central Time (US & Canada),bolagal,jsonfile_today_siggi_ny.json,0.5240659117698669,positive,siggi
1077,I love Martellus and Siggi Bennett 😍 and their daughter Jett is sooooo cute omg!,en,Mon Jun 26 00:55:04 ,Mon,0:55:04,6/26/2017,6/26/2017 0:55,1,,,"{u'full_name': u'Washington, DC', u'url': u'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'01fbe706f872cb32', u'name': u'Washington'}",False,False,8056,3438,False,1233,True,40,,121569,Central Time (US & Canada),shes_rADIAnt,jsonfile_today_siggi_ny.json,0.9884015917778015,positive,siggi
1078,"This Siggi's Filmjölk, drinkable yogurt, is the bee's knees.",en,Sun Jun 25 23:31:35 ,Sun,23:31:35,6/25/2017,6/25/2017 23:31,0,,,,False,False,5235,686,False,1024,True,25,Pennsylvania,34209,Eastern Time (US & Canada),ComeWicked,jsonfile_today_siggi_ny.json,0.6500160694122314,negative,siggi
1079,RT @siggisdairy: siggi’s icelandic-style yogurt is made with simple ingredients and not a lot of sugar. ,en,Sun Jun 25 16:53:42 ,Sun,16:53:42,6/25/2017,6/25/2017 16:53,7,,,,False,False,24429,535,False,185,True,262,USA,23094,Eastern Time (US & Canada),mariadestrella,jsonfile_today_siggi_ny.json,0.5042158961296082,positive,siggi
