Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment
47,"RT @DairyFoods: Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike https:…",en,Mon Jun 26 16:56:24 ,Mon,16:56:24,6/26/2017,6/26/2017 16:56,1,,,,False,False,55,273,False,299,False,35,,8991,Eastern Time (US & Canada),Luisdalig,jsonfile_chobani.json,0.7846499681472778,neutral
54,"Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike ",en,Mon Jun 26 16:41:53 ,Mon,16:41:53,6/26/2017,6/26/2017 16:41,1,,,,False,False,5,6482,False,267,False,227,"Troy, Mi",5196,Central Time (US & Canada),DairyFoods,jsonfile_chobani.json,0.7178865075111389,neutral
128,"My judge phrase is ""don't cum on my shoe and tell me it's Dannon!"" And I run a no nonsense courtroom, sponsored by @Dannon",en,Mon Jun 26 23:40:28 ,Mon,23:40:28,6/26/2017,6/26/2017 23:40,1,,,,False,False,55048,2408,False,692,True,52,Detroit,71412,Eastern Time (US & Canada),BaronVonSavings,jsonfile_today_dannon_ny.json,0.5736159086227417,neutral
133,*HOT* Dannon Oikos Triple Zero Yogurt ONLY $0.26 at Walmart  ,en,Mon Jun 26 19:16:29 ,Mon,19:16:29,6/26/2017,6/26/2017 19:16,0,,,,False,False,0,50,False,0,False,0,"Houston, TX",6320,Pacific Time (US & Canada),mexicouponers,jsonfile_today_dannon_ny.json,0.5089817643165588,positive
134,"Got oikos coconut chocolate crunch flavor yogurt by dannon and pink lady for lunch: 217kcal, 4g fat, 38g carbs, 10g protein.",en,Mon Jun 26 18:56:00 ,Mon,18:56:00,6/26/2017,6/26/2017 18:56,0,,,,False,False,149,52,False,195,False,0,"Creston,IA",176,Central Time (US & Canada),dehill73,jsonfile_today_dannon_ny.json,0.7591855525970459,neutral
135,"RT @MissCherAzur: Love Dannon Light &amp; Fit Yogurt, this time im eating Strawberry. #Fit #FitLife #Fitness",en,Mon Jun 26 17:56:17 ,Mon,17:56:17,6/26/2017,6/26/2017 17:56,1,,,,False,False,512,51355,False,21119,False,581,Global ✈ ,203128,Eastern Time (US & Canada),EliteCamBot2,jsonfile_today_dannon_ny.json,0.941289484500885,positive
136,"Love Dannon Light &amp; Fit Yogurt, this time im eating Strawberry. #Fit #FitLife #Fitness",en,Mon Jun 26 17:52:30 ,Mon,17:52:30,6/26/2017,6/26/2017 17:52,1,,,,False,False,11189,3341,False,1650,True,95,Hidden Crypt,22686,Central Time (US & Canada),MissCherAzur,jsonfile_today_dannon_ny.json,0.9735623002052307,positive
137,"RT @DairyFoods: Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike https:…",en,Mon Jun 26 16:56:24 ,Mon,16:56:24,6/26/2017,6/26/2017 16:56,1,,,,False,False,55,273,False,299,False,35,,8991,Eastern Time (US & Canada),Luisdalig,jsonfile_today_dannon_ny.json,0.7846499681472778,neutral
138,"Weird but true: All the PR guys at the big #yogurt companies (#Dannon, #Chobani, #Yoplait) are named Michael or Mike ",en,Mon Jun 26 16:41:53 ,Mon,16:41:53,6/26/2017,6/26/2017 16:41,1,,,,False,False,5,6482,False,267,False,227,"Troy, Mi",5196,Central Time (US & Canada),DairyFoods,jsonfile_today_dannon_ny.json,0.7178865075111389,neutral
139,RT @LaurenPincusRD: #ad Need snack ideas w/ protein &amp; fiber? Try @Dannon @lightandfit Greek Mouse+berries #DoWhatFitsYou #LightandFitRD htt…,en,Mon Jun 26 14:52:36 ,Mon,14:52:36,6/26/2017,6/26/2017 14:52,2,,,,False,False,485,100,False,32,False,0,,307,Eastern Time (US & Canada),lightandfit,jsonfile_today_dannon_ny.json,0.6781989336013794,neutral
