Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment,company_name
3165,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,6/26/2017,6/26/2017 17:57,0,,,,False,False,18412,1646,False,747,True,28,"Los Angeles, CA",6834,Eastern Time (US & Canada),jessforaminute,jsonfile_chobani.json,0.4922583997249603,neutral,fage
3536,@TODAYshow Fage was the first Greek yogurt in the USA not Chobani . It was invented in 1926 in Greece,en,Thu Jun 29 20:05:34 ,Thu,20:05:34,3/7/2017,7/3/2017 20:05,0,,,,False,False,145,15,False,150,True,1,west palm bch Fla.,93,Eastern Time (US & Canada),VIPtrainU,jsonfile_chobani.json,0.8880214691162109,neutral,fage
3685,@Esselle_hq @reallycorking @dontperishyet I started out eating chobani and then went to fage... it's all good!,en,Thu Jun 29 01:31:22 ,Thu,1:31:22,1/7/2017,7/1/2017 1:31,0,,,,False,False,6249,483,False,796,True,11,"Minneapolis, MN",14704,Central Time (US & Canada),misschelslynn,jsonfile_chobani.json,0.9115721583366394,positive,fage
3690,@Esselle_hq @dontperishyet Ahhh I don't like Chobani. Fage or the highway,en,Thu Jun 29 01:08:54 ,Thu,1:08:54,1/7/2017,7/1/2017 1:08,0,,,,False,False,5866,62,False,74,True,4,"San Jose, CA",5761,Pacific Time (US & Canada),pickflick,jsonfile_chobani.json,0.933729887008667,negative,fage
3769,@dailydirtnap Chobani ($4.50) is half the cost of Fage ($11.40)on a 40oz tub comparing Sam's and Costco.,en,Wed Jun 28 18:57:22 ,Wed,18:57:22,6/30/2017,6/30/2017 18:57,0,,,,False,False,495,9,False,38,False,1,,790,Pacific Time (US & Canada),boutrosng,jsonfile_chobani.json,0.5755502581596375,neutral,fage
3778,"The Chobani story is a great story, but you're insane if you don't think Fage tastes better. ",en,Wed Jun 28 17:49:35 ,Wed,17:49:35,6/30/2017,6/30/2017 17:49,0,,,,False,False,3064,10948,False,585,False,213,"Myrtle Beach, SC",11674,Eastern Time (US & Canada),dailydirtnap,jsonfile_chobani.json,0.6405982375144958,positive,fage
4003,@DFresh716 I hear good things about Fage. I like Dannon but Tops brand has surprisingly been my favorite so far,en,Wed Jun 28 02:54:48 ,Wed,2:54:48,6/29/2017,6/29/2017 2:54,0,,,,False,False,216,392,False,328,False,2,"Wilson/Buffalo, NY",23521,Eastern Time (US & Canada),McCarthy_StephT,jsonfile_dannon.json,0.9378872513771057,positive,fage
7151,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,6/28/2017,6/28/2017 17:57,0,,,,False,False,18412,1646,False,747,True,28,"Los Angeles, CA",6834,Eastern Time (US & Canada),jessforaminute,jsonfile_chobani.json,0.4922583997249603,neutral,fage
7363,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,2/7/2017,7/2/2017 17:57,0,,,,False,False,18441,1645,False,749,True,26,"Los Angeles, CA",6843,Eastern Time (US & Canada),jessforaminute,jsonfile_noosa yogurt.json,0.4922583997249603,neutral,fage
7550,Chobani. Fage. Noosa. Aardvark. THERE ARE TOO MANY YOGURT BRANDS IT'S ENOUGH ALREADY,en,Tue Jul 04 17:57:18 ,Tue,17:57:18,6/29/2017,6/29/2017 17:57,0,,,,False,False,18414,1647,False,747,True,27,"Los Angeles, CA",6833,Eastern Time (US & Canada),jessforaminute,jsonfile_noosa yogurt.json,0.4922583997249603,neutral,fage
